,LB,BOLE,MOOB,ARF,ARFre,FU-LB,FU-ARF,FU-ARFre,OALE,CALMID
129,0.956196621,0.91438875,0.92634393,0.959392675,0.947909697,0.887020883,0.889559797,0.874659931,0.795639912,0.949979879
130,0.945709668,0.909290397,0.928849182,0.954961487,0.950783795,0.886518572,0.888444313,0.875580744,0.794104844,0.953696923
131,0.955498756,0.905034383,0.92847033,0.962146778,0.956664174,0.891727211,0.892414894,0.900073865,0.79464216,0.952638484
132,0.955066921,0.905700174,0.9273441,0.961813061,0.958454422,0.890889377,0.896421529,0.883080331,0.796274323,0.954582994
133,0.946266577,0.913908192,0.919809985,0.958143854,0.957961285,0.880570585,0.894478304,0.903647981,0.788123002,0.953118177
134,0.958455924,0.90766068,0.923227627,0.960334234,0.950141436,0.878731858,0.895657781,0.899397738,0.802977936,0.953229988
135,0.947716165,0.909021405,0.920978944,0.961244769,0.952774747,0.883615791,0.89557991,0.900821076,0.789830885,0.949078864
136,0.952044548,0.9168078,0.918482178,0.955079636,0.949617855,0.880721166,0.88949433,0.883660325,0.80332268,0.945681512
137,0.967442337,0.934975007,0.938835761,0.968745208,0.965470003,0.900270638,0.918254562,0.908797499,0.81725772,0.965337294
138,0.962704292,0.914413513,0.930884458,0.968129824,0.960434075,0.893695756,0.90993862,0.904788064,0.815535861,0.961423394
139,0.953090361,0.918466824,0.922094393,0.962776674,0.95860037,0.88413308,0.907298304,0.902724989,0.803396572,0.947964558
140,0.951769255,0.911655466,0.924897927,0.954225583,0.950971371,0.891581838,0.901995517,0.894355167,0.816550923,0.948258183
141,0.956420145,0.909327504,0.92843275,0.963643472,0.948826658,0.896479399,0.905633051,0.906213784,0.808330668,0.953909243
142,0.962434961,0.921682761,0.929709748,0.972062461,0.965711446,0.903362343,0.919423713,0.90882407,0.809485512,0.961584185
143,0.954079781,0.918311764,0.923306478,0.964593951,0.954876849,0.886980916,0.903809523,0.898986357,0.789041224,0.952561377
144,0.965479452,0.923683248,0.925016721,0.969149854,0.959525371,0.910588542,0.923200627,0.920127421,0.811192883,0.962739372
145,0.961064769,0.915233042,0.9183253,0.965066124,0.960139182,0.90198995,0.91693804,0.910289499,0.80992742,0.960070632
146,0.962160075,0.923660042,0.921888294,0.961106069,0.96137566,0.912907184,0.919168498,0.925397844,0.805581069,0.96005603
147,0.965407098,0.93112343,0.93261876,0.974253515,0.966411015,0.911713644,0.930230342,0.927128424,0.827079249,0.966935414
148,0.960750306,0.924658896,0.923656327,0.967944018,0.960587669,0.912732718,0.92369143,0.913102581,0.828838932,0.963820695
149,0.96344109,0.922709955,0.926765229,0.963081511,0.962479896,0.902583704,0.922778664,0.921320466,0.814726809,0.961667759
150,0.968602039,0.927335043,0.940070097,0.970866029,0.964420543,0.911842608,0.925841749,0.910507799,0.829684655,0.965632268
151,0.965103382,0.922611722,0.941040081,0.964744576,0.962578206,0.914392732,0.922607313,0.908995865,0.824687282,0.963991974
152,0.969580392,0.919707501,0.931495195,0.96644323,0.956663978,0.909271397,0.92421201,0.911453082,0.819152586,0.960222545
153,0.967322319,0.92632979,0.936455444,0.968547367,0.961590802,0.90948657,0.924428005,0.915925101,0.815796591,0.960667206
154,0.968801921,0.933931516,0.943153503,0.972426188,0.966637703,0.924519502,0.93199486,0.924162525,0.833699374,0.967942378
155,0.958757382,0.918115804,0.920975488,0.95938271,0.953965746,0.905352359,0.912889299,0.902676981,0.807619974,0.9528404
156,0.959774714,0.919752547,0.931105112,0.969866961,0.957734259,0.914096981,0.925965348,0.923524671,0.828149889,0.960736181
157,0.96243136,0.923651046,0.930354223,0.96625653,0.958627934,0.909598734,0.925039058,0.911974902,0.815496307,0.96117623
158,0.97490097,0.935784045,0.945012756,0.97535107,0.969054489,0.938214155,0.942629792,0.935888008,0.838873436,0.972002604
159,0.964678348,0.926569545,0.933134078,0.969664934,0.963713846,0.927997299,0.933671933,0.921803177,0.825271908,0.965956976
160,0.971068611,0.933359824,0.933549881,0.972197886,0.974744921,0.930030383,0.938446582,0.938009487,0.834971831,0.970625258
161,0.97101488,0.921878262,0.938485095,0.970876121,0.969996276,0.930150396,0.938780412,0.932224686,0.833695033,0.967973146
162,0.964510482,0.91574149,0.927687671,0.962543094,0.962349718,0.91855322,0.923762508,0.918863531,0.834610385,0.962819416
163,0.971855695,0.924647643,0.947257255,0.973972779,0.970871729,0.931162328,0.941302573,0.932588681,0.845315101,0.970025237
164,0.969242729,0.93851491,0.943539056,0.974625597,0.968881694,0.931554608,0.936352544,0.937614348,0.842120323,0.97024544
165,0.962179497,0.927073087,0.930220238,0.967679296,0.965016264,0.924811828,0.928097431,0.925414462,0.829958608,0.961391746
166,0.96898022,0.938238998,0.938567588,0.971740156,0.971069426,0.928606119,0.942325817,0.929005596,0.838721516,0.96463641
167,0.963211027,0.930274823,0.933870054,0.964202684,0.966778873,0.91938127,0.932548114,0.925654359,0.828655405,0.96145521
168,0.966555532,0.92914973,0.9360447,0.970517385,0.962987003,0.91979251,0.931761149,0.92105187,0.832974804,0.962596474
169,0.966148277,0.938462439,0.936652689,0.964543317,0.958973013,0.928954922,0.931217935,0.927189177,0.827956749,0.963133047
170,0.973440531,0.942096383,0.934261935,0.975106044,0.970701457,0.931987185,0.939295196,0.934723887,0.825992573,0.969184758
171,0.971965454,0.935630497,0.93873132,0.9704426,0.969488636,0.932402611,0.940781405,0.934570287,0.834481556,0.970564011
172,0.960667492,0.922814702,0.926032913,0.959608941,0.959917063,0.918394118,0.926858919,0.916946199,0.823662099,0.960390349
173,0.969586183,0.930029518,0.933421526,0.969728402,0.968369442,0.930049427,0.937056786,0.927664986,0.835956067,0.968098516
174,0.969671669,0.933232133,0.930648801,0.967026667,0.969373816,0.92768183,0.93492998,0.934149099,0.830548852,0.967488344
175,0.962833848,0.931367416,0.931360653,0.971537118,0.968609352,0.929071763,0.939301604,0.931485436,0.841237413,0.96827966
176,0.9689654,0.943344636,0.937207293,0.973107064,0.972883685,0.932511272,0.94327464,0.941616643,0.840203266,0.968727096
177,0.974733204,0.946253931,0.938519785,0.976278663,0.970299067,0.939233111,0.946735944,0.943998099,0.841644446,0.968793215
178,0.97982603,0.946429928,0.939909911,0.97758142,0.976647562,0.938087606,0.946463163,0.947122399,0.854064152,0.973471108
179,0.969281377,0.927322544,0.932543003,0.968730935,0.967351861,0.928331378,0.938584106,0.933571026,0.849978169,0.964269062
180,0.965956216,0.937135539,0.93437902,0.967719962,0.969373549,0.931673743,0.936638851,0.924838576,0.839569656,0.96821014
181,0.969530728,0.936819638,0.93810733,0.969538327,0.969102656,0.937369705,0.944783484,0.939737438,0.849390079,0.970585518
182,0.976127044,0.945731125,0.942858634,0.976240647,0.972558265,0.944661614,0.950583601,0.94044871,0.857720747,0.975627994
183,0.975078079,0.946860228,0.935308402,0.975582747,0.968566985,0.939442542,0.947623228,0.94460952,0.84705412,0.974379927
184,0.966187665,0.927844958,0.933916137,0.972952149,0.969826078,0.931237959,0.942975641,0.939479458,0.847367816,0.966175971
185,0.966041276,0.936989632,0.925323551,0.968478097,0.966270049,0.925191151,0.93737497,0.935235438,0.847860647,0.966028618
186,0.971827157,0.944042922,0.938191391,0.974015771,0.974066157,0.937324915,0.946618761,0.945453528,0.849371774,0.972379173
187,0.969355834,0.934186014,0.93462722,0.969627638,0.966878125,0.930337792,0.94579018,0.941541701,0.843484908,0.970410601
188,0.976042043,0.943015419,0.940682832,0.97344045,0.971856696,0.938159058,0.94557814,0.943105628,0.846506568,0.969271378
189,0.972009327,0.943909545,0.932616591,0.971879469,0.967730945,0.935138268,0.948269462,0.943977384,0.847734394,0.968514049
190,0.974404425,0.943489791,0.939631837,0.978274969,0.974777327,0.942814571,0.953573916,0.954378156,0.857910399,0.971822592
191,0.971196014,0.936511848,0.937054064,0.970740025,0.972280723,0.935500879,0.947725135,0.940633179,0.847123111,0.972875398
