,LB,BOLE,MOOB,ARF,ARFre,SS-LB,VU-ARF,SS-ARFre,OALE,CALMID
88,0.990332891,0.917572494,0.946674651,0.99125443,0.991631294,0.944575128,0.971945418,0.966760405,0.862598925,0.981089736
89,0.985933579,0.928765767,0.948150123,0.991619826,0.990184704,0.950182218,0.969782241,0.965818413,0.860386164,0.979322764
90,0.988676885,0.925154252,0.944817308,0.98706192,0.987218085,0.945400037,0.96689576,0.96523639,0.859575243,0.979155645
91,0.988917005,0.922678875,0.948417567,0.991891787,0.990610332,0.947392984,0.970966055,0.967779423,0.877414102,0.978815501
92,0.986072372,0.908991752,0.943351851,0.988047684,0.989575862,0.944881488,0.96839416,0.96438882,0.863026776,0.97912752
93,0.99049867,0.924510351,0.951713921,0.992571714,0.990226643,0.946710562,0.972822676,0.967958116,0.867782229,0.981361656
94,0.987276232,0.914605717,0.947179161,0.987807615,0.984578387,0.945702445,0.968814996,0.963494509,0.864816612,0.978753757
95,0.986901257,0.915084966,0.941618113,0.987409893,0.991730882,0.943314947,0.968763742,0.963216114,0.865447114,0.980347193
96,0.98808897,0.924784144,0.948608791,0.992460245,0.99117667,0.95190655,0.971266397,0.968025014,0.870413679,0.982125085
97,0.988848441,0.919240166,0.937169173,0.988798103,0.986538271,0.944459404,0.968584609,0.962844228,0.847456748,0.980410842
98,0.993642901,0.920421811,0.954933116,0.994688987,0.992137673,0.956323173,0.979230774,0.972670922,0.863825021,0.986842618
99,0.991191318,0.934088084,0.948894426,0.992650228,0.992492365,0.952140396,0.974877565,0.967740641,0.859767283,0.984321541
100,0.804672727,0.71794129,0.544930996,0.724161197,0.673967499,0.57917263,0.540389001,0.560301085,0.702863335,0.612716514
101,0.874870408,0.904443961,0.595816003,0.836443914,0.826821724,0.795817821,0.752285339,0.771543736,0.812765711,0.837715829
102,0.928803103,0.895960973,0.618362071,0.900310769,0.889258523,0.843678393,0.801188752,0.801281776,0.835045326,0.884349662
103,0.931602832,0.907477951,0.637124053,0.897956741,0.887973066,0.874360573,0.834466955,0.827693686,0.863945797,0.915506158
104,0.94734779,0.912600865,0.652109293,0.909178807,0.882592724,0.880788931,0.847424677,0.825479522,0.872932751,0.939269909
105,0.958731918,0.932752703,0.691110181,0.92984282,0.913944195,0.899360474,0.88283381,0.853295018,0.895340619,0.954046723
106,0.969509042,0.949824685,0.695257374,0.944744872,0.931628509,0.921201251,0.883230733,0.856253815,0.894728417,0.969576423
107,0.97304944,0.953890035,0.716863202,0.952352457,0.941680142,0.937984515,0.907071397,0.866581389,0.892263032,0.972371811
108,0.976277531,0.957854069,0.739041691,0.952451276,0.934308558,0.95043364,0.912448137,0.878347389,0.888265911,0.974671437
109,0.972194132,0.956316247,0.737610086,0.956312469,0.94720488,0.947197474,0.923704167,0.900368653,0.891329626,0.977689681
110,0.976508414,0.957090721,0.745869239,0.956741018,0.946342141,0.952094377,0.931463207,0.918351139,0.898783796,0.98085428
111,0.976318264,0.956661954,0.769502147,0.954625264,0.945742881,0.959986054,0.926760068,0.917135756,0.882132402,0.98325582
112,0.978178432,0.962029045,0.795243416,0.965155555,0.951615659,0.960055056,0.937295531,0.93155746,0.896348947,0.982738773
113,0.976979168,0.966274756,0.794538807,0.964731967,0.949776073,0.965734411,0.929177779,0.925608852,0.883442829,0.986481457
114,0.978682071,0.964362742,0.825804322,0.961527169,0.957940622,0.964691359,0.935814146,0.928722971,0.892277317,0.984458107
115,0.974658822,0.95738488,0.827669367,0.957433359,0.948611815,0.959508961,0.927268102,0.919473678,0.87956652,0.981224509
116,0.977912718,0.965902655,0.838175283,0.966006762,0.958040651,0.964501683,0.944825734,0.934350438,0.898473912,0.984658572
117,0.986962722,0.971947415,0.882165738,0.972891014,0.968883941,0.97256973,0.951703582,0.945170195,0.902837675,0.990675941
118,0.983006698,0.969652877,0.872564715,0.963174373,0.957617716,0.970970346,0.945830859,0.938379716,0.895674438,0.987949882
119,0.977058587,0.966589589,0.862841687,0.965617009,0.961069226,0.967384094,0.94203698,0.937288932,0.89586646,0.986050567
120,0.985984439,0.978181832,0.885710529,0.972000636,0.967417924,0.977951901,0.949063075,0.940771049,0.899574377,0.992756857
121,0.988130304,0.975154914,0.88971515,0.971937633,0.96892006,0.972628945,0.954107648,0.944857498,0.90733085,0.989140357
122,0.98798577,0.976831746,0.891616609,0.971606952,0.969911094,0.975375478,0.952277911,0.941473944,0.905007931,0.992528461
123,0.989723833,0.973198165,0.900905612,0.974730177,0.969112122,0.971358016,0.95284635,0.94781299,0.912229009,0.989376995
124,0.989724429,0.972185665,0.892826133,0.962912719,0.963385503,0.969022404,0.950254381,0.940849343,0.894703807,0.990337862
125,0.99063633,0.977856753,0.912460597,0.971730526,0.970259678,0.97487834,0.95789973,0.947542313,0.909895963,0.992454214
126,0.987039918,0.978901139,0.912682048,0.975464369,0.971611412,0.977325793,0.956508904,0.949469905,0.901293615,0.990751394
127,0.992489644,0.980259792,0.919354666,0.974390407,0.974735526,0.9749692,0.960421375,0.949441239,0.907279244,0.991733065
128,0.991779302,0.980123925,0.917971672,0.975828389,0.977346462,0.978279988,0.960953521,0.951459214,0.911073758,0.993180909
129,0.988301819,0.973032177,0.914083141,0.970696197,0.964558613,0.972841775,0.95540449,0.946602561,0.89672049,0.990494297
130,0.993029421,0.982532329,0.925599623,0.98062352,0.978449157,0.981741117,0.965596478,0.957521756,0.90859195,0.996222086
131,0.991336182,0.973574494,0.93522873,0.971647147,0.973735283,0.975090727,0.959386158,0.951613462,0.914445961,0.991059634
132,0.993013345,0.974977628,0.934225479,0.975264691,0.976933919,0.976623943,0.965220371,0.956284646,0.916700491,0.992205442
133,0.991301227,0.979451349,0.934469879,0.972437624,0.975118344,0.977861077,0.964559095,0.955142273,0.91694793,0.993492506
134,0.993135356,0.980255373,0.935431838,0.982061643,0.981625583,0.981132011,0.969612695,0.964196748,0.911374962,0.995953944
135,0.993330807,0.976052362,0.938984804,0.980766502,0.979815988,0.976504769,0.968781752,0.963470232,0.910975775,0.994630703
136,0.992407594,0.978138275,0.9339393,0.976834286,0.978899349,0.976620593,0.966531873,0.964077341,0.915051519,0.994429549
137,0.992625241,0.980392285,0.941908942,0.978107559,0.982198157,0.981432541,0.968180997,0.963622076,0.91366977,0.995444958
138,0.992723621,0.980145993,0.942486933,0.984252026,0.978513153,0.982324544,0.972992427,0.969096808,0.915989642,0.996211075
139,0.995604764,0.981588854,0.949526343,0.979983017,0.979939132,0.982907167,0.96824609,0.965988079,0.924304413,0.994967289
140,0.992734057,0.979007032,0.945826482,0.98117963,0.976206155,0.978958349,0.966782423,0.963481594,0.919853184,0.994539812
141,0.991624813,0.978225829,0.934849104,0.976353394,0.977493672,0.979390254,0.96755904,0.962737203,0.913277812,0.99403837
142,0.991306983,0.975172625,0.945574153,0.978444573,0.975859643,0.978094734,0.966851743,0.964875891,0.919286626,0.996981189
143,0.989074785,0.980192576,0.938122848,0.978637057,0.974790573,0.9789952,0.966862825,0.963383055,0.920385898,0.994290636
144,0.991357276,0.976066239,0.954094417,0.980279716,0.977816042,0.978398919,0.969300489,0.965679319,0.919172148,0.994714418
145,0.993779708,0.978007955,0.946969417,0.986141918,0.978612343,0.981225188,0.970221449,0.96830517,0.916629829,0.996300817
146,0.991304309,0.972964763,0.945893411,0.977092178,0.975573393,0.975180351,0.964923468,0.960575764,0.910388427,0.993317903
147,0.988346301,0.973920845,0.938047438,0.974910872,0.976456166,0.97608836,0.966538139,0.963501805,0.908914352,0.996491274
148,0.993597565,0.984025511,0.959596496,0.983664844,0.981281583,0.985148288,0.971893223,0.969799901,0.918967391,0.997243335
149,0.993972731,0.977770289,0.957324074,0.982828908,0.980099384,0.981824507,0.972695263,0.9713175,0.927127869,0.995188809
150,0.993293079,0.978028591,0.953729234,0.97920762,0.980059902,0.982544278,0.970334069,0.966212162,0.916288509,0.996953597
151,0.992239226,0.978668982,0.95046412,0.980023201,0.975940128,0.981447813,0.968470279,0.965326386,0.914336721,0.994902178
152,0.992097531,0.979806837,0.954075485,0.983220953,0.982796536,0.983044859,0.970958536,0.97092004,0.918358883,0.997663669
153,0.995330797,0.979745318,0.952928272,0.979693252,0.977841272,0.981702276,0.968718311,0.965175114,0.916422169,0.997086631
154,0.994892764,0.980521233,0.946921686,0.982109223,0.980408367,0.981460838,0.968600333,0.964588167,0.919487986,0.997272167
155,0.99635982,0.982797656,0.965659029,0.983172711,0.984689774,0.986501346,0.974737154,0.972438207,0.926697183,0.998363062
156,0.995878354,0.981905415,0.954647811,0.983590675,0.984269783,0.982810274,0.973108214,0.968422261,0.916228455,0.997727901
157,0.995883715,0.982141044,0.958561465,0.984149231,0.986542693,0.983185463,0.975668091,0.973971676,0.919688939,0.997469919
158,0.996639131,0.981676012,0.95402107,0.983763039,0.982002023,0.981893389,0.972054555,0.969963727,0.919880673,0.997482158
159,0.993444659,0.980023847,0.961688067,0.979218728,0.976152672,0.982039951,0.969125522,0.967824349,0.930543573,0.995818943
160,0.995542508,0.984709596,0.962729291,0.980692946,0.979389298,0.983966222,0.971012333,0.968947621,0.919886844,0.995933801
161,0.996630112,0.984900669,0.956722425,0.985117705,0.984171165,0.986345643,0.975557572,0.972133549,0.916195963,0.997821069
162,0.996044147,0.983747413,0.961101062,0.98361354,0.983966357,0.985474438,0.974535887,0.970425233,0.929772656,0.997678782
163,0.995918604,0.979635878,0.95764367,0.983714743,0.980331389,0.985372233,0.970879893,0.968241421,0.91524076,0.997555725
164,0.99532669,0.982787104,0.964130521,0.983575522,0.984458983,0.986840359,0.97550165,0.973663006,0.921048786,0.9982663
165,0.99750728,0.984743826,0.965324255,0.98927432,0.985080515,0.987462639,0.976412795,0.972750838,0.925675581,0.998549994
166,0.995247593,0.984830351,0.96421927,0.981014935,0.979885233,0.987074295,0.970499548,0.966798241,0.91924032,0.996628549
167,0.996853849,0.983854523,0.968639142,0.986128743,0.981860763,0.987325299,0.975135407,0.971305767,0.929622449,0.99745057
168,0.997855148,0.984133997,0.963130724,0.981504963,0.983191045,0.987102314,0.975526212,0.970831592,0.922000154,0.998004973
169,0.99723946,0.984858877,0.968428615,0.985772843,0.986021797,0.990973402,0.97688307,0.973448911,0.93100699,0.998245077
170,0.996366281,0.980687811,0.969703267,0.981843298,0.98108988,0.98688687,0.974847393,0.969807549,0.924028592,0.997879472
171,0.998209987,0.983270591,0.971800935,0.986657318,0.983764153,0.989619266,0.978968804,0.973295395,0.931743704,0.998405733
172,0.994381712,0.985243083,0.967219278,0.984079056,0.980399051,0.988379018,0.974543287,0.970649239,0.931394581,0.99613927
173,0.997201875,0.985024235,0.966761628,0.985967695,0.982933281,0.987912383,0.97937206,0.972610179,0.931130213,0.998532044
174,0.99653089,0.985959256,0.966497373,0.981685091,0.983928501,0.989222239,0.973546132,0.969140441,0.926636919,0.997790594
175,0.998705795,0.98584094,0.971885902,0.987596308,0.985888646,0.991232424,0.97943109,0.974262273,0.928436134,0.998933764
176,0.996543404,0.982720641,0.969849642,0.984965262,0.984959097,0.986745792,0.977429028,0.973024116,0.930411471,0.998512116
177,0.996188324,0.988004605,0.971266682,0.984304893,0.985552184,0.989179225,0.98115901,0.975105923,0.934388961,0.998807762
178,0.996171902,0.989370689,0.971813456,0.98859991,0.987333649,0.991693621,0.980230753,0.977097637,0.932819032,0.998792845
179,0.997372852,0.987435034,0.97152236,0.989352712,0.988505519,0.988781928,0.981499493,0.976233023,0.937936397,0.997903155
180,0.996960039,0.985237937,0.971102992,0.985450161,0.983518958,0.987839917,0.978778983,0.974312052,0.930883446,0.997527873
181,0.993384739,0.986947277,0.971460337,0.988551818,0.987549964,0.989702208,0.98144404,0.976783748,0.931270931,0.998493939
182,0.99853054,0.990900641,0.975926639,0.990140417,0.990640313,0.992504658,0.984150304,0.980857365,0.934842009,0.999038001
183,0.998461424,0.989554575,0.973825272,0.988780379,0.987190997,0.990453089,0.982535891,0.977886608,0.931733124,0.999134671
184,0.996265509,0.988831543,0.970755782,0.987240211,0.984927623,0.988898095,0.980090846,0.973752756,0.935026629,0.997424114
185,0.995081611,0.987266109,0.967799955,0.987213917,0.983914613,0.988363875,0.978755325,0.973275449,0.923782395,0.998081451
186,0.998217368,0.992121015,0.973096729,0.989652709,0.990481305,0.991977675,0.984852449,0.980745111,0.937672348,0.998945242
187,0.997139359,0.988230033,0.96898258,0.988041301,0.988812458,0.98979255,0.981191772,0.978079194,0.92897893,0.998024546
188,0.997679411,0.994379103,0.976661729,0.989155189,0.98940537,0.992751041,0.982513516,0.98012111,0.938692533,0.998570583
189,0.998579242,0.99473941,0.973123016,0.986620063,0.987686638,0.992902238,0.984430152,0.980040663,0.940305489,0.999099664
190,0.997719857,0.994564987,0.970376341,0.985985362,0.983860292,0.990169731,0.979099,0.974017723,0.92666568,0.998610683
191,0.997935573,0.994289707,0.975977592,0.988095369,0.988418584,0.992124285,0.983027707,0.977755814,0.934361293,0.998396209
192,0.995581902,0.989844001,0.968811206,0.98279085,0.982525239,0.990213469,0.977622919,0.972612893,0.927630339,0.998197959
193,0.997581827,0.994735576,0.977982436,0.988980352,0.98879828,0.993542887,0.983780053,0.978486764,0.937776698,0.999002933
194,0.998559248,0.995763098,0.973942954,0.985229165,0.98394281,0.994070062,0.978624819,0.972332705,0.934947557,0.999026359
195,0.997352698,0.994123097,0.974535134,0.988173056,0.98444867,0.99295401,0.97976642,0.97532738,0.934261746,0.999443836
196,0.997754858,0.995836316,0.977712038,0.989219331,0.988594041,0.993129748,0.984165049,0.979953209,0.933392431,0.998925706
197,0.998488202,0.996131523,0.978863035,0.990883171,0.98871904,0.995311675,0.984920129,0.98100567,0.941523788,0.999601088
198,0.997140428,0.996034258,0.977155553,0.990465668,0.989167284,0.993781488,0.984124581,0.981693325,0.944215341,0.999102701
199,0.999175291,0.995038222,0.974209415,0.987570934,0.985160416,0.99325189,0.981363041,0.976100313,0.927919528,0.999328482
200,0.76921785,0.735264514,0.727091037,0.718767155,0.594935866,0.614644173,0.5458987,0.547411164,0.702766398,0.660315735
201,0.923445114,0.859323557,0.874111063,0.907330355,0.798292676,0.786740802,0.660415898,0.645865337,0.829614504,0.898562946
202,0.927684879,0.841585769,0.891150373,0.931035035,0.883124765,0.810207091,0.656189056,0.647238726,0.84331486,0.897542826
203,0.955398513,0.841012736,0.915840604,0.955244795,0.914764319,0.829767872,0.671497647,0.673339746,0.874754849,0.937950954
204,0.961040999,0.83586185,0.91399265,0.946373211,0.925064433,0.843977862,0.676791072,0.683148198,0.874934833,0.938696958
205,0.971729333,0.853378488,0.943240564,0.959402148,0.948626323,0.872655288,0.746810067,0.674187207,0.887904144,0.950991792
206,0.971986256,0.836415615,0.947214352,0.969880284,0.95818104,0.881841045,0.828050247,0.718143643,0.894255985,0.956710567
207,0.973326562,0.889154653,0.944038984,0.966047604,0.960549835,0.885545808,0.878679111,0.820909286,0.895613638,0.956427578
208,0.972290928,0.87052612,0.946889598,0.969393988,0.965497711,0.882709944,0.875942994,0.84533698,0.892835439,0.956596043
209,0.976691136,0.896014189,0.949359778,0.974291076,0.971257624,0.895715748,0.897725479,0.862705386,0.898471084,0.959683075
210,0.975691669,0.906087992,0.957843558,0.969847474,0.975139552,0.913371169,0.921779907,0.886153171,0.911537967,0.972556772
