,LB,BOLE,MOOB,ARF,ARFre,SS-LB,FU-ARF,SS-ARFre,OALE,CALMID
150,0.957946776,0.912787112,0.931434656,0.955775402,0.959274517,0.921179676,0.918793278,0.921855856,0.831292233,0.957617698
151,0.955008678,0.905623709,0.926191849,0.958630312,0.956776869,0.912496231,0.912577004,0.903995506,0.825002482,0.954059333
152,0.959675236,0.906508573,0.925986726,0.95985903,0.957144786,0.911016741,0.917378104,0.912261898,0.815106802,0.956893468
153,0.957113527,0.910112848,0.931748893,0.958759837,0.960409563,0.9122749,0.908981451,0.909375743,0.816196685,0.954422151
154,0.956594658,0.909008976,0.931760634,0.955881073,0.957270722,0.914849038,0.908503277,0.908340742,0.830180457,0.952729849
155,0.963866055,0.917655019,0.937711612,0.96548443,0.959643597,0.921054401,0.923194069,0.919336865,0.82376223,0.960022961
156,0.948225788,0.901658527,0.924599674,0.953021187,0.954133661,0.90785669,0.905331592,0.904229157,0.819603974,0.94418635
157,0.954104654,0.91430547,0.932804959,0.962831888,0.954568126,0.918461648,0.914397368,0.914072569,0.83366918,0.958816711
158,0.945927189,0.891877402,0.918941817,0.949790169,0.944738645,0.904286051,0.898971812,0.893381554,0.80161979,0.94068568
159,0.956591001,0.920443335,0.930733787,0.961191052,0.959809758,0.919647723,0.914840103,0.911161394,0.824629247,0.955215516
160,0.952686556,0.894204754,0.918423147,0.951402916,0.954859973,0.912497031,0.909267093,0.904523485,0.81997454,0.945003287
161,0.956016176,0.913999049,0.928135832,0.960345508,0.962973068,0.919486452,0.918625119,0.912869946,0.833713044,0.950601821
162,0.957956041,0.917998241,0.93249559,0.961384283,0.958741173,0.924554494,0.92188012,0.919608346,0.822001995,0.95731434
163,0.955054485,0.902284043,0.918226218,0.956008676,0.954649558,0.913747439,0.908129141,0.904159883,0.813207242,0.951156865
164,0.961456531,0.915643681,0.928515037,0.96488432,0.96415366,0.929550847,0.926263594,0.923266189,0.839532175,0.959081431
165,0.960850699,0.918802707,0.933306352,0.955133453,0.956692083,0.929998389,0.922195629,0.920148475,0.841269535,0.957595151
166,0.965445775,0.916425875,0.92882883,0.964559293,0.962565187,0.928820666,0.926486928,0.921859204,0.830302047,0.955692031
167,0.966509474,0.926326676,0.936516601,0.962069334,0.964589676,0.93000467,0.927182291,0.927314207,0.8384461,0.963012838
168,0.956361334,0.922042203,0.925618044,0.954582657,0.960651108,0.925780512,0.922800438,0.922370154,0.836940762,0.955346145
169,0.958439044,0.909649633,0.931549304,0.946625999,0.948566147,0.922930664,0.917386345,0.914038096,0.831279584,0.946497841
170,0.961938866,0.911226996,0.935029852,0.954171886,0.955446599,0.924726999,0.923376948,0.917898352,0.837824131,0.952896754
171,0.961497424,0.91330393,0.920399307,0.964753837,0.962608945,0.928206411,0.927894449,0.919581264,0.830933769,0.957215479
172,0.961884131,0.92968459,0.931114708,0.962828002,0.961603848,0.930724707,0.929007914,0.928693268,0.828873269,0.956440886
173,0.96222321,0.913836919,0.931410084,0.957244234,0.956112352,0.92505626,0.91796075,0.912185742,0.823863571,0.95739815
174,0.965509493,0.921732289,0.933139844,0.968316386,0.965181204,0.93198625,0.93006189,0.92852575,0.836523379,0.963091451
175,0.962704455,0.923192005,0.934464744,0.963380002,0.9595418,0.929974168,0.928585559,0.92382392,0.844989963,0.960366573
176,0.964253282,0.922075328,0.931886105,0.963711201,0.957215701,0.928610802,0.928772031,0.925005654,0.844846453,0.961160208
177,0.956262524,0.917085769,0.928791315,0.960518485,0.961052445,0.920108228,0.918489698,0.919860992,0.834476206,0.954459075
178,0.961353487,0.916872119,0.940998303,0.956541824,0.964611522,0.924404374,0.921141947,0.917754829,0.820702081,0.955027566
179,0.967691198,0.925721107,0.942163003,0.965778682,0.967947152,0.93257055,0.931535305,0.928535136,0.834138261,0.964914988
180,0.956274179,0.920813031,0.935506425,0.955910665,0.958812526,0.927815422,0.923993332,0.918702808,0.833928088,0.955637971
181,0.96385047,0.928857697,0.937228293,0.968231946,0.966729165,0.934633067,0.9362695,0.932642665,0.841546292,0.961693276
182,0.962627219,0.925625315,0.934840891,0.959925883,0.960041891,0.927298626,0.927390471,0.924740088,0.826273907,0.958127781
183,0.964524731,0.926608953,0.936490951,0.964985281,0.970677579,0.935818708,0.934016735,0.93259032,0.844783411,0.966291728
184,0.970570457,0.933293421,0.944693933,0.966872759,0.963094241,0.93897706,0.936118477,0.93382144,0.845568041,0.960485865
185,0.964346269,0.917935893,0.929687003,0.958986328,0.961731818,0.925246872,0.926525138,0.918976094,0.82143665,0.956899516
186,0.966746299,0.927635373,0.935580949,0.961786695,0.965698999,0.934783091,0.933397323,0.929671754,0.85156261,0.965308565
