,LB,BOLE,MOOB,ARF,ARFre,VU-LB,SS-ARF,VU-ARFre,OALE,CALMID
0,0.88665067,0.921436502,0.885384868,0.790377954,0.781488367,0.888169331,0.819827715,0.781223596,0.918333481,0.883677512
1,0.912999009,0.96262257,0.916291791,0.951704959,0.93357423,0.924159438,0.885603084,0.844386088,0.949340036,0.893763225
2,0.935395959,0.97101762,0.949961235,0.980067224,0.980597959,0.949883362,0.901550672,0.871451589,0.958831005,0.924688521
3,0.977210771,0.970099653,0.93841692,0.991149391,0.984518044,0.946071064,0.958633551,0.867779506,0.953637949,0.938575985
4,0.99624316,0.974136471,0.943188558,0.991135158,0.992478043,0.954603435,0.976236785,0.949313204,0.961851914,0.956541955
5,0.996560851,0.9782138,0.94241734,0.995004043,0.99417128,0.954731869,0.981468156,0.97682706,0.964376287,0.965155692
6,0.996943559,0.96298472,0.921991903,0.994086421,0.993480614,0.938676643,0.982285272,0.97233677,0.948179617,0.949049885
7,0.996978171,0.973108023,0.93881728,0.997771073,0.995482834,0.952935931,0.987412539,0.987850307,0.961376496,0.958901121
8,0.998052794,0.970944788,0.93790428,0.999222584,0.998581689,0.943384169,0.993473499,0.990558013,0.954479088,0.860179708
9,0.997824257,0.969531847,0.935968807,0.996859747,0.996488576,0.941560791,0.990155762,0.989633085,0.95719759,0.961603027
10,0.99597232,0.974672843,0.940786982,0.998980549,0.998866077,0.951945096,0.994095365,0.995974652,0.964266369,0.977305212
11,0.997151966,0.968949163,0.937477303,0.9919489,0.995646021,0.939833472,0.991906855,0.988458682,0.952927828,0.979947731
12,0.994779004,0.964990661,0.941020641,0.997079104,0.997581152,0.906060978,0.992807557,0.991924373,0.95745931,0.98648096
13,0.998275074,0.967456228,0.977271349,0.997986145,0.996952056,0.940376278,0.993910746,0.9945926,0.95885521,0.992427365
14,0.997475942,0.977056168,0.990519373,0.998187543,0.998115712,0.973530484,0.996496387,0.994328531,0.968578485,0.994658027
15,0.996664831,0.96635519,0.982249303,0.998025972,0.998761105,0.976218554,0.994676541,0.995419318,0.969741812,0.992397642
16,0.996811392,0.973616774,0.990850367,0.99889477,0.998142008,0.98300654,0.993740166,0.993222205,0.976491775,0.994072287
17,0.997412832,0.973994559,0.991159287,0.993974082,0.998188005,0.984094791,0.994832492,0.994771554,0.979202055,0.995407534
18,0.999248474,0.985382806,0.995091137,0.998621093,0.997885417,0.988487783,0.997241109,0.99723511,0.986834266,0.997456827
19,0.996839683,0.986616339,0.99453025,0.999103472,0.9992361,0.985902633,0.995779049,0.99352602,0.985368498,0.997069455
20,0.995346602,0.986499007,0.989150961,0.998543617,0.998383505,0.987333113,0.996466125,0.994707147,0.979011507,0.997629583
21,0.999700783,0.993559688,0.994320692,0.999360306,0.999428672,0.990560399,0.997814049,0.99759577,0.979940104,0.998907376
22,0.997733951,0.990892672,0.991316091,0.998235119,0.998806865,0.984750421,0.996882373,0.996907367,0.981044854,0.996997694
23,0.999590735,0.996286192,0.994993999,0.997857335,0.999027984,0.99028875,0.997347714,0.997985829,0.985300278,0.99833526
24,0.999591892,0.994063658,0.996756592,0.999128511,0.998794367,0.984918833,0.997032452,0.997934917,0.989419353,0.997922428
25,0.999632924,0.997779099,0.996245303,0.999143063,0.998934872,0.98792556,0.997480001,0.995969705,0.987218489,0.999084736
26,0.999306213,0.993802258,0.997081634,0.998573537,0.998284898,0.986313095,0.996887408,0.997744704,0.984130344,0.998070238
27,0.999508821,0.998146319,0.997890565,0.999531598,0.99640517,0.989500739,0.998680045,0.996442692,0.986037709,0.999086255
28,0.997772604,0.9933727,0.996198457,0.99780927,0.998704465,0.988371089,0.99689952,0.998643677,0.982733226,0.996164172
29,0.997869979,0.99181486,0.995173816,0.998355942,0.997488822,0.989011081,0.996554816,0.996249959,0.979271263,0.996556218
30,0.995251331,0.996533708,0.997249241,0.998825417,0.998510023,0.994388267,0.997763273,0.996715428,0.981268378,0.997279333
31,0.998933544,0.993871679,0.996884009,0.997398367,0.99722534,0.996924819,0.9974392,0.997020641,0.98468162,0.998347272
32,0.999204175,0.997079752,0.998703525,0.999146909,0.998900919,0.996744961,0.99787718,0.99690802,0.981858254,0.997773064
33,0.999074208,0.998315588,0.997918142,0.999168787,0.998781314,0.995590219,0.99768542,0.997621013,0.985539303,0.998089677
