,LB,BOLE,MOOB,ARF,ARFre,RVU-LB,VU-ARF,VU-ARFre,OALE,CALMID
773,0.720835099,0.704436448,0.720900775,0.693425956,0.692812865,0.699199084,0.70125724,0.698503775,0.700604288,0.719217263
774,0.732507291,0.70516704,0.732753854,0.711742335,0.714113252,0.718892258,0.725435957,0.721750281,0.72282603,0.732675196
775,0.732760265,0.722654234,0.733063813,0.717862218,0.715345706,0.722190254,0.719665949,0.719664453,0.724565768,0.732363386
776,0.766260442,0.751187135,0.766391259,0.756326143,0.752153187,0.754751105,0.762248839,0.760390822,0.757978797,0.766309556
777,0.732592273,0.716080399,0.731674268,0.715626538,0.712889446,0.71389606,0.720357383,0.720667197,0.721325903,0.732367218
778,0.733191847,0.713098638,0.731745613,0.714304221,0.714810026,0.713636888,0.720102897,0.721085822,0.720404021,0.732480691
779,0.73328686,0.714445349,0.732831179,0.711322957,0.710479247,0.717757482,0.721873438,0.724190132,0.719379512,0.732537939
780,0.690276808,0.658321212,0.727730907,0.660255187,0.660084683,0.687460787,0.715022825,0.715684191,0.698135133,0.714201571
781,0.732222222,0.719995361,0.732908188,0.72034887,0.713565875,0.720530448,0.725480006,0.723747472,0.724629712,0.732658779
782,0.71832357,0.703622648,0.720498669,0.713189134,0.685758309,0.69694761,0.717431284,0.703589299,0.704120361,0.713490835
783,0.766656816,0.75228107,0.766476669,0.763229196,0.761319181,0.755758099,0.762105539,0.760768697,0.7591292,0.766552999
784,0.730607193,0.717016927,0.7321616,0.725868085,0.719520865,0.712404392,0.729115372,0.721076566,0.71367572,0.729985172
785,0.731630079,0.720660085,0.732531399,0.730589156,0.726448802,0.721670116,0.730996687,0.726567863,0.719303026,0.731298655
786,0.712387156,0.691042318,0.731784374,0.709971003,0.690726569,0.673908394,0.690859114,0.695646539,0.706535446,0.725935611
787,0.721080525,0.70212028,0.720267445,0.698135274,0.696207779,0.67588081,0.687061393,0.685733668,0.707596491,0.719861193
788,0.721643582,0.70935689,0.720947763,0.711937477,0.706582969,0.704898314,0.700898199,0.697476846,0.712608286,0.721304983
789,0.732447459,0.721678099,0.732569956,0.719247823,0.718071766,0.711727724,0.716408048,0.716365266,0.722368406,0.731693864
790,0.732983626,0.718006296,0.732866893,0.715536315,0.715992787,0.71108812,0.714228686,0.713581975,0.722968907,0.731574769
791,0.691684945,0.697703549,0.72020497,0.665277407,0.664437512,0.666338809,0.67938436,0.660817931,0.692878316,0.70698702
792,0.720488003,0.698775215,0.720294435,0.689141909,0.699492828,0.698085607,0.696282773,0.697102482,0.697817409,0.719466005
793,0.721864939,0.705157975,0.721528342,0.698198384,0.708160451,0.705930033,0.703789092,0.700175315,0.714547803,0.721599927
794,0.721854725,0.700241119,0.721092685,0.682464448,0.699550706,0.700054286,0.701222736,0.706944521,0.707481468,0.72135945
795,0.733154183,0.719407576,0.732996694,0.719371743,0.722216106,0.714437469,0.720017484,0.720085945,0.722953369,0.732701284
796,0.7331184,0.718977647,0.732950581,0.715638436,0.719164492,0.714042817,0.717075106,0.718654847,0.721350918,0.732154852
