,LB,BOLE,MOOB,ARF,ARFre,RVU-LB,SS-ARF,FU-ARFre,OALE,CALMID
309,0.756007236,0.737273865,0.741818903,0.755876611,0.755433125,0.749713098,0.743208779,0.737279118,0.746660334,0.753209595
310,0.75302319,0.743752153,0.747052139,0.754721098,0.752000512,0.751073337,0.746146082,0.738095728,0.750633906,0.752373267
311,0.751904584,0.747275823,0.747616698,0.75903403,0.755905811,0.753898142,0.746970152,0.741112452,0.75176558,0.752232244
312,0.753680395,0.748252844,0.740186121,0.753062413,0.750926292,0.748011165,0.742103625,0.74098034,0.748206692,0.74906206
313,0.824058874,0.783147147,0.814030565,0.828405867,0.828124419,0.771439608,0.78587146,0.757927066,0.788644004,0.79704215
314,0.831484701,0.812946657,0.821299427,0.842809035,0.840456647,0.754946676,0.795821857,0.739018394,0.781911806,0.802297237
315,0.784781176,0.793614458,0.817562845,0.837051736,0.837874434,0.792706343,0.819256264,0.82367772,0.816614599,0.826562961
316,0.835388843,0.755065786,0.830409565,0.845192338,0.844054789,0.837433428,0.832455272,0.838170711,0.836708939,0.843790344
317,0.758173251,0.735431204,0.749595242,0.758316629,0.756957627,0.748062271,0.750156288,0.751454251,0.75422698,0.757751995
318,0.750223274,0.736076734,0.749319515,0.757106061,0.75519917,0.741656662,0.744769368,0.746623958,0.744764008,0.747921647
319,0.754163527,0.726965339,0.746868165,0.757649224,0.758531539,0.74402587,0.741523529,0.744851767,0.744857027,0.744332894
320,0.753939616,0.741501689,0.75699354,0.758886413,0.758197727,0.752460214,0.749611989,0.745739514,0.750533911,0.756140335
321,0.760021185,0.743210437,0.757719976,0.758307343,0.759056783,0.756712592,0.754541875,0.75364932,0.752474535,0.759533259
322,0.758084456,0.749272307,0.756417568,0.758830715,0.759530249,0.755736291,0.754200041,0.755206955,0.751486458,0.758786758
323,0.757605443,0.738382063,0.755966442,0.757392159,0.757478654,0.752638424,0.751875794,0.752570692,0.750763287,0.756014653
324,0.757649811,0.74129657,0.75413569,0.757524579,0.756989009,0.748007141,0.751065401,0.749614082,0.748541431,0.753388924
325,0.757605613,0.735734682,0.750606218,0.757763358,0.755140768,0.745706187,0.752047017,0.749214579,0.749913048,0.756110442
326,0.752483564,0.733970368,0.746748719,0.756259416,0.754710529,0.744525538,0.748695739,0.749091369,0.747818994,0.755559058
327,0.752816857,0.730252765,0.75249632,0.752488858,0.755155287,0.745389164,0.749238404,0.750997624,0.747424465,0.754607111
328,0.746172151,0.735689283,0.744685579,0.756576724,0.754119702,0.737351214,0.74428988,0.745905455,0.737272042,0.748062487
329,0.7478252,0.74302367,0.751077673,0.754873614,0.756824913,0.742412721,0.746849795,0.746167905,0.741328438,0.751114418
330,0.732422419,0.721125622,0.743895217,0.742756006,0.744634743,0.716631585,0.737789326,0.725122007,0.736122851,0.741905468
331,0.804283145,0.799520767,0.782840692,0.805918458,0.81655807,0.72459654,0.744601811,0.675332586,0.77553133,0.780401137
332,0.84191751,0.833775289,0.817712119,0.84447554,0.842569116,0.807221104,0.79077662,0.792500563,0.793455005,0.805465126
333,0.835590846,0.804997222,0.800975762,0.836679043,0.839087893,0.812588025,0.792619068,0.804474202,0.799179268,0.823548424
334,0.746098602,0.733307615,0.745125355,0.738280793,0.744157282,0.732227707,0.732476851,0.73565004,0.730872238,0.743482213
335,0.737915469,0.746574482,0.746384478,0.753906993,0.751632098,0.722328507,0.731161602,0.734802421,0.732175751,0.746215875
336,0.748380075,0.731360984,0.748663121,0.756226542,0.753821624,0.741894433,0.740361187,0.745914173,0.739827293,0.752995392
337,0.727495428,0.748593129,0.749054418,0.757100036,0.754118848,0.740025944,0.738178713,0.744142059,0.740436095,0.755955062
338,0.738953193,0.7336804,0.744966877,0.756489541,0.754256503,0.742579636,0.739609121,0.746826325,0.741588993,0.754836339
