,LB,BOLE,MOOB,ARF,ARFre,SS-LB,FU-ARF,FU-ARFre,OALE,CALMID
0,0.872850412,0.907043357,0.870897886,0.749663308,0.746965134,0.870516308,0.756874527,0.744831195,0.903989253,0.866621768
1,0.936852429,0.961143015,0.936587431,0.950825411,0.895287711,0.933884806,0.817596806,0.796197465,0.945959896,0.921935712
2,0.916283731,0.969336601,0.927057498,0.985983324,0.979788384,0.92983133,0.81285303,0.771418272,0.950572933,0.917091444
3,0.951060463,0.968425146,0.933982747,0.987584214,0.986509794,0.933941032,0.898928382,0.738513272,0.944228877,0.923206032
4,0.986232064,0.967167203,0.941858551,0.994011437,0.990596993,0.940982403,0.947614666,0.821118737,0.950110914,0.933771742
5,0.985967694,0.966184892,0.926776985,0.995376333,0.993631665,0.929352044,0.963262682,0.94826352,0.938161249,0.936580504
6,0.988584327,0.963097091,0.926488836,0.995845236,0.994591806,0.929046031,0.961865913,0.952820303,0.938409331,0.934521466
7,0.996276901,0.971679998,0.941337458,0.998447344,0.997936973,0.94431071,0.984660058,0.979577149,0.946512488,0.948019832
8,0.996828512,0.972864246,0.944481808,0.998982912,0.998988968,0.943249493,0.985015787,0.986398002,0.944335938,0.830342677
9,0.993274711,0.962492982,0.927752639,0.997896162,0.994129872,0.93037497,0.982044584,0.979544177,0.935442181,0.943902384
10,0.994799203,0.971946394,0.931777017,0.999264352,0.997527505,0.943213469,0.984533566,0.980999128,0.949304867,0.978471883
11,0.996858944,0.972043817,0.945227948,0.998493226,0.997459491,0.948100375,0.989797756,0.987483033,0.947610716,0.990286285
12,0.998995505,0.97442061,0.957248477,0.998919148,0.999560262,0.907362504,0.991801217,0.992412607,0.956254657,0.996317349
13,0.995905176,0.972074262,0.985378334,0.998540472,0.997161506,0.894837775,0.991641927,0.993188513,0.947140897,0.995658551
14,0.996220885,0.968305801,0.990626327,0.998278453,0.992831995,0.958152781,0.990517689,0.990331031,0.948216609,0.995942817
15,0.994241653,0.968414914,0.993497985,0.997454421,0.999041478,0.975779022,0.994784428,0.992118173,0.966523394,0.996999159
16,0.995673142,0.969923855,0.990311284,0.998793297,0.998553998,0.98177649,0.992392266,0.991723119,0.974452351,0.998067845
17,0.998676911,0.980214478,0.992996234,0.999174778,0.999278391,0.988256887,0.995027913,0.996211547,0.978474006,0.998636392
18,0.998870413,0.984858364,0.994949929,0.994663724,0.995594068,0.989588913,0.993952954,0.985409929,0.97939517,0.998009502
19,0.994244221,0.990379869,0.995351324,0.99697936,0.997789519,0.991025396,0.992533376,0.989365096,0.983293251,0.997038221
20,0.995397815,0.988574015,0.991084146,0.998762431,0.998263203,0.989838674,0.995852455,0.990455374,0.980989804,0.996894768
21,0.991965088,0.990603894,0.997038431,0.997368025,0.992546145,0.990427055,0.984090735,0.979904305,0.981041189,0.995685388
22,0.997728588,0.995706226,0.997212928,0.999385432,0.998034933,0.995442954,0.994858426,0.99612236,0.984565286,0.999360195
23,0.998761804,0.994935273,0.993960078,0.99912314,0.998360438,0.993723856,0.997322983,0.997311487,0.986992669,0.999134228
24,0.997578355,0.997341383,0.995616976,0.999485464,0.997667917,0.993400305,0.996609983,0.996056887,0.985598036,0.998770531
25,0.997987176,0.996500783,0.996605709,0.999275,0.999116558,0.9942063,0.99707631,0.995605276,0.986788417,0.998949541
26,0.992615556,0.994443834,0.994983748,0.999494031,0.999054949,0.993779787,0.998167076,0.997366959,0.988027799,0.999087352
27,0.996965091,0.994086862,0.993368281,0.996570082,0.997135414,0.988968711,0.994852381,0.984197762,0.981803105,0.998721039
28,0.99789333,0.995113695,0.995710784,0.998873741,0.998910515,0.995296338,0.996526245,0.996315577,0.984748221,0.997943136
29,0.997626456,0.994098265,0.993729293,0.996796414,0.997555607,0.99309246,0.996191538,0.995812905,0.987057435,0.996985622
30,0.996390438,0.992067131,0.99472639,0.992728294,0.997474423,0.991489601,0.992617631,0.98897642,0.985205956,0.996514868
31,0.997551864,0.997772929,0.997393755,0.999760173,0.998192434,0.993895869,0.997481831,0.998874555,0.989297772,0.999649655
32,0.999016084,0.996655633,0.995453783,0.999249569,0.998404074,0.995079909,0.99752101,0.997533812,0.986769619,0.999648406
33,0.998288809,0.997340009,0.996201575,0.999325436,0.998994438,0.994645515,0.996212419,0.997370028,0.985365185,0.99856997
34,0.998464431,0.992976695,0.992916727,0.996444337,0.999399205,0.993398518,0.996443392,0.995533471,0.98142075,0.997449836
35,0.993267074,0.997560548,0.997890532,0.995740408,0.998193522,0.992607561,0.996420054,0.995262097,0.981941344,0.998682782
36,0.999051556,0.998422759,0.997995981,0.999778739,0.999388773,0.995624256,0.998996458,0.999437692,0.990232744,0.999647349
37,0.998921959,0.997403386,0.99529805,0.999456162,0.999427825,0.993790112,0.998623858,0.998562164,0.987703896,0.999324316
38,0.999422979,0.997925786,0.9982551,0.999261427,0.999303997,0.996335196,0.998276543,0.997630631,0.991413338,0.999358395
39,0.992462819,0.994703687,0.993798273,0.998608473,0.999130707,0.99147023,0.996437222,0.99573582,0.983120952,0.997490295
40,0.998465097,0.996406138,0.998073202,0.999475269,0.995503671,0.994241688,0.997301658,0.995003703,0.988571614,0.998873114
41,0.999457396,0.998269127,0.997026209,0.999788976,0.999636622,0.997245261,0.999224524,0.999404783,0.992505666,0.999808208
42,0.996217304,0.997777428,0.995914671,0.999214006,0.999301045,0.995311835,0.998430623,0.997149604,0.983844696,0.999558012
43,0.999258156,0.998502234,0.99737969,0.999426215,0.999375276,0.996471065,0.998399554,0.997844732,0.983293639,0.99945788
44,0.996824694,0.997946009,0.998632216,0.998663228,0.999337465,0.996792199,0.999279431,0.999217847,0.987553221,0.999388229
45,0.998095437,0.993861575,0.997378463,0.998936382,0.999333229,0.995119859,0.998516439,0.998375348,0.985167149,0.999324766
46,0.999046178,0.997114409,0.996873858,0.999258184,0.999670953,0.994709019,0.998104906,0.996656621,0.98746255,0.998578196
