,LB,BOLE,MOOB,ARF,ARFre,SS-LB,RVU-ARF,VU-ARFre,OALE,CALMID
180,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
181,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
182,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
183,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
184,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
185,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
186,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
187,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
188,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
189,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
190,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
191,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
192,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
193,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
194,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
195,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
196,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
197,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
198,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
199,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
200,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
201,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
202,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
203,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
204,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
205,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
206,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
207,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
208,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
209,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
210,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
211,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
212,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
213,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
214,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
215,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
216,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
217,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
218,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
219,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
220,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
221,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
222,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
223,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
224,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
225,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
226,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
227,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
228,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
229,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
230,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
231,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
232,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
233,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
234,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
235,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
236,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
237,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
238,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
239,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
240,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
241,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
242,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
243,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
244,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
245,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
