,LB,BOLE,MOOB,ARF,ARFre,VU-LB,VU-ARF,VU-ARFre,OALE,CALMID
82,0.999910479,0.99993561,0.999761885,0.999832086,0.99984211,0.999786794,0.999746357,0.999877061,0.993526615,0.999906121
83,0.996924903,0.999590258,0.997733758,0.999635565,0.999522259,0.998247952,0.999147827,0.998885127,0.990704557,0.999663733
84,0.999491512,0.999062251,0.997890685,0.999393015,0.999658476,0.998318977,0.998969677,0.999500605,0.99188383,0.998211536
85,0.999929077,0.999673146,0.99963417,0.999700734,0.999904735,0.999639693,0.999699463,0.999713224,0.993912951,0.999763079
86,0.999668953,0.998786038,0.999612056,0.999708933,0.999381896,0.998978179,0.999112991,0.999278161,0.993898251,0.999362756
87,0.998586795,0.999516208,0.998908329,0.999409246,0.999012152,0.998389951,0.998084877,0.998235659,0.989684872,0.999466408
88,0.999749456,0.999615527,0.999462264,0.999637975,0.999682209,0.999164695,0.999223743,0.998752124,0.992756581,0.999694738
89,0.999611153,0.999444529,0.998923024,0.999537412,0.998916436,0.997825312,0.999319009,0.999547413,0.989636597,0.999317076
90,0.999798323,0.999540064,0.99955213,0.999413574,0.999776707,0.999304943,0.999387801,0.999629867,0.991821092,0.999764303
91,0.999501219,0.998423052,0.999034301,0.999709283,0.999669322,0.99874799,0.999364625,0.999608977,0.990466686,0.999337846
92,0.999739083,0.999361216,0.99885439,0.999411542,0.999210853,0.998848485,0.998636484,0.998975054,0.991298289,0.999740453
93,0.997138246,0.999463377,0.999368397,0.999682919,0.998691945,0.99868517,0.998737624,0.998932461,0.992828945,0.999133436
94,0.999608573,0.999119499,0.99939285,0.997293658,0.999764742,0.998722312,0.998917359,0.999420417,0.994245078,0.99920187
95,0.999851028,0.99925391,0.999062505,0.999664296,0.999369511,0.998553946,0.99937403,0.999018013,0.993396208,0.999590318
96,0.998587626,0.998327841,0.999184175,0.999831012,0.999890946,0.998106988,0.999602254,0.999833076,0.994237567,0.99945733
97,0.994568888,0.998653919,0.998007694,0.99828885,0.99853433,0.997005418,0.997414605,0.99901127,0.984929726,0.998618107
98,0.999116824,0.99953174,0.999367734,0.999705275,0.999619756,0.998640836,0.998922447,0.999094803,0.990572699,0.999775344
99,0.999748322,0.999354121,0.998733519,0.997619866,0.99927435,0.997710873,0.998447256,0.999358575,0.990602082,0.999033486
100,0.86397481,0.785772932,0.83705913,0.578914128,0.628008521,0.790811081,0.687920806,0.707393097,0.782318092,0.87068829
101,0.947495815,0.906608607,0.919756986,0.834811758,0.799741814,0.897567647,0.66673106,0.591839477,0.866996351,0.96504948
102,0.944759286,0.907858,0.935467229,0.902750362,0.894607624,0.886497195,0.654262547,0.58488574,0.8668117,0.952345814
103,0.963985122,0.922841573,0.94939297,0.933512104,0.932183184,0.903758936,0.689707175,0.623365591,0.872424056,0.971564908
104,0.967352755,0.922790064,0.934556518,0.940147816,0.92866447,0.909990654,0.678095817,0.640898412,0.869076247,0.96705048
105,0.97177563,0.943959497,0.949529008,0.951168441,0.960143771,0.917256946,0.773594641,0.640974328,0.881765321,0.973534171
106,0.975542642,0.952447747,0.952120931,0.963552549,0.970303035,0.91533585,0.830470157,0.641559272,0.883249386,0.971602426
107,0.981095454,0.960339508,0.95065193,0.969049145,0.96864885,0.927963821,0.867182995,0.785899135,0.89006184,0.978367489
108,0.978250881,0.959121324,0.955012471,0.968702829,0.967854396,0.92911743,0.877759792,0.83618474,0.891112681,0.981733573
109,0.984262296,0.958911323,0.95770875,0.974116554,0.974703093,0.928624456,0.893316589,0.859636387,0.889607796,0.978106139
110,0.983343503,0.968028635,0.967639147,0.972829874,0.975894288,0.938056283,0.907390291,0.873813713,0.892616579,0.984068652
111,0.982142111,0.952056337,0.966976866,0.967365834,0.968618292,0.923669751,0.901124193,0.866257098,0.888125671,0.978960639
112,0.984639097,0.963777144,0.966174386,0.978356903,0.9765331,0.943464723,0.919644428,0.890271009,0.90174347,0.982390991
113,0.986652292,0.961150247,0.972282707,0.972129648,0.979388012,0.942296102,0.922236353,0.915994495,0.902291818,0.981595035
114,0.980267291,0.971505915,0.969629837,0.980903425,0.974926554,0.932929888,0.915971176,0.900099719,0.889356088,0.979842432
115,0.984537716,0.970555832,0.971485875,0.976349522,0.971665389,0.944112962,0.923061871,0.895465232,0.902361079,0.984567752
116,0.979940189,0.962550814,0.966456321,0.97949994,0.979061084,0.940425277,0.922820473,0.894224237,0.889409193,0.984791665
117,0.987814236,0.975878339,0.978780143,0.979296162,0.97882045,0.952973425,0.937783423,0.925163348,0.906588964,0.988792458
118,0.989151646,0.980357644,0.969548716,0.982375225,0.985479983,0.959531246,0.954044123,0.936898929,0.916399059,0.987535717
119,0.987199621,0.973246739,0.981050724,0.985784918,0.987153732,0.95978715,0.952156198,0.945788157,0.916446731,0.988791842
120,0.978638495,0.964723093,0.972342344,0.989343577,0.974757821,0.958066688,0.954870598,0.939673124,0.918050728,0.983887792
121,0.977741819,0.977732096,0.980108204,0.978081065,0.980706191,0.952534403,0.947319482,0.926319083,0.902535449,0.984542686
122,0.982182246,0.96943103,0.971139581,0.986607005,0.980272628,0.958186312,0.94996952,0.939391864,0.900227144,0.982503206
123,0.990802688,0.976108566,0.982468988,0.990191125,0.990320477,0.970576466,0.969520771,0.96155454,0.91905528,0.992648243
124,0.986041247,0.979990726,0.978867964,0.986885633,0.987359408,0.964291762,0.957572684,0.950035674,0.920067765,0.988853443
125,0.98900576,0.974286499,0.979149582,0.989346935,0.989139112,0.969736091,0.967572791,0.954753335,0.922377629,0.991331908
126,0.983852279,0.973847725,0.971065394,0.987407852,0.981559336,0.961873164,0.963297233,0.955717163,0.911816881,0.985642584
127,0.989943218,0.986897702,0.986855469,0.987482997,0.993269963,0.978931777,0.974898244,0.966297077,0.939220046,0.993565715
128,0.987652414,0.973235551,0.967812738,0.985279623,0.982016376,0.958911492,0.960415652,0.940864184,0.906033586,0.986001869
129,0.987872781,0.985375861,0.979444851,0.97975598,0.986095263,0.964972983,0.964382948,0.950145662,0.921229709,0.989853268
130,0.986420649,0.977105191,0.978325771,0.977389864,0.984078543,0.965673611,0.964961688,0.953057453,0.918801134,0.986671035
131,0.983892594,0.978692252,0.984670843,0.988397734,0.986673281,0.970988011,0.967155309,0.96465769,0.924433986,0.987440149
132,0.991771086,0.982324967,0.979565586,0.98792405,0.99025644,0.973568237,0.972927349,0.960871498,0.927633474,0.991604506
133,0.987243832,0.987184148,0.984029976,0.989451282,0.989431154,0.97416283,0.971969434,0.957494947,0.926423125,0.991628081
134,0.981668351,0.974540715,0.967686351,0.985867317,0.981026063,0.964981661,0.964683575,0.955371298,0.903476328,0.986108246
135,0.990722176,0.97792331,0.981840515,0.984196995,0.985302704,0.968400941,0.969843981,0.959289194,0.916781627,0.985672365
136,0.991315775,0.981033362,0.984893826,0.984605981,0.985349173,0.977086456,0.975884314,0.964749665,0.927456594,0.99097327
137,0.991975484,0.980655847,0.984396775,0.991009331,0.990837695,0.976913802,0.978131441,0.969392813,0.926142781,0.992264023
138,0.991459356,0.98356713,0.984491144,0.991488164,0.993997019,0.978353177,0.982117671,0.972325415,0.934430557,0.993311276
139,0.989078235,0.982370194,0.9789738,0.986894394,0.990243352,0.970377234,0.969022332,0.960273632,0.917148451,0.988862335
140,0.991209905,0.985286135,0.98209947,0.989167688,0.989063618,0.977133227,0.978003506,0.971349839,0.924697484,0.993870526
141,0.989592422,0.987233067,0.982857798,0.988750669,0.98894779,0.967995233,0.97091343,0.953562787,0.922778705,0.990520576
142,0.992811136,0.981763773,0.981892225,0.988025498,0.987291715,0.978186267,0.979182203,0.963074772,0.923788157,0.994077455
143,0.993725097,0.98928248,0.986055633,0.992209219,0.9933651,0.978745621,0.980694572,0.966503195,0.935525083,0.992312058
144,0.99047979,0.984505574,0.984514112,0.990420841,0.988455838,0.967815584,0.97302462,0.969430015,0.915931965,0.989738338
145,0.99393175,0.990126729,0.985541646,0.99246788,0.991200945,0.982503589,0.984106896,0.979133842,0.937867126,0.994634573
146,0.991298479,0.987801178,0.981310827,0.992898175,0.99271393,0.978223802,0.980498519,0.974974276,0.922082959,0.993588303
147,0.988767087,0.981084885,0.981664394,0.984739885,0.988045107,0.971206745,0.972898657,0.967376935,0.933175334,0.988245984
148,0.992422751,0.98618192,0.987212233,0.992673195,0.993188679,0.979831216,0.981823928,0.9760258,0.929698847,0.993059351
149,0.982456107,0.962940029,0.967952655,0.978668909,0.979893905,0.960704007,0.964412315,0.966110077,0.917876887,0.981437381
150,0.974224913,0.929661923,0.963590692,0.709283331,0.669607333,0.952127639,0.951473183,0.935936527,0.92166165,0.974302676
151,0.976475024,0.915908361,0.964879777,0.815770988,0.724085782,0.962597265,0.952574508,0.937039104,0.920590782,0.979399397
152,0.988635292,0.933025765,0.974273183,0.881245359,0.837184763,0.959967105,0.961848669,0.941637318,0.920844184,0.982380304
153,0.984136261,0.905980293,0.970407937,0.891933463,0.846147212,0.951151893,0.953455176,0.943106458,0.913292723,0.975005599
154,0.989188771,0.919320954,0.983556282,0.932802333,0.897168747,0.9681496,0.961000805,0.953200565,0.928681171,0.984445181
155,0.988764637,0.935368696,0.978242144,0.957413081,0.938278039,0.968095763,0.968000357,0.958124745,0.926534882,0.98480281
156,0.987784719,0.940648357,0.977095838,0.954491775,0.930733491,0.96406192,0.96243789,0.958004053,0.931631454,0.984147913
157,0.990596728,0.952556079,0.985535977,0.962050955,0.956896687,0.975537283,0.973019635,0.968766621,0.939909571,0.988595115
158,0.985829247,0.919542243,0.978641542,0.948485928,0.927366615,0.952559081,0.95170364,0.939904161,0.903299841,0.974760544
159,0.985364702,0.952704014,0.977713591,0.959773548,0.9597175,0.971249384,0.968762917,0.950819269,0.929190355,0.984030983
160,0.992625336,0.9524866,0.981398861,0.973171378,0.969429797,0.975458865,0.973783356,0.96528612,0.934843868,0.989185568
161,0.993186188,0.949041046,0.986553752,0.96936677,0.961821105,0.972903627,0.971416527,0.96917826,0.932646595,0.988564942
162,0.990474705,0.946951684,0.986064142,0.976051381,0.968360768,0.967010409,0.972495447,0.966876141,0.926193207,0.984844104
163,0.990361409,0.947006862,0.986028928,0.979533729,0.968026966,0.97122215,0.971750035,0.968576851,0.925888768,0.989638141
164,0.990296971,0.94784928,0.986849778,0.976354024,0.973188884,0.974451219,0.974565593,0.962526389,0.932794139,0.988481742
165,0.993033468,0.945420084,0.9856262,0.976047727,0.971222758,0.971093227,0.975169047,0.967662317,0.924397667,0.988246365
166,0.994632661,0.953087939,0.990148779,0.982786164,0.974453474,0.978926413,0.977425541,0.971240727,0.934742193,0.990395888
167,0.990806741,0.944739401,0.97978148,0.981408578,0.976530476,0.973966679,0.973683803,0.962492621,0.929696103,0.98727748
168,0.990253471,0.952992016,0.986636115,0.97825491,0.975918709,0.97778967,0.973836352,0.963967484,0.932177904,0.989233568
169,0.989894055,0.951305302,0.986909255,0.972230946,0.969265248,0.972413753,0.97118511,0.962296005,0.927697206,0.987913917
170,0.989956247,0.956504417,0.987094479,0.979049277,0.974216789,0.977546658,0.975535543,0.965440158,0.933891451,0.988358005
171,0.995678939,0.960959309,0.992846652,0.986547316,0.986061391,0.980517055,0.980769373,0.972186331,0.937085347,0.992750139
172,0.991921466,0.955747428,0.986432181,0.979148466,0.982684635,0.977359337,0.975075865,0.971055765,0.933849553,0.990271644
