,LB,BOLE,MOOB,ARF,ARFre,VU-LB,FU-ARF,FU-ARFre,OALE,CALMID
294,0.989276749,0.948373109,0.989246098,0.981120271,0.984013925,0.979541017,0.974679605,0.969224065,0.969246415,0.993016414
295,0.989653433,0.957807207,0.986918107,0.979032847,0.986983415,0.982965752,0.968019303,0.965684419,0.966898927,0.992977128
296,0.992703327,0.970771796,0.990490953,0.986035905,0.98801654,0.989473764,0.979347799,0.971319038,0.973594918,0.995119359
297,0.994194624,0.967049586,0.987649261,0.981911366,0.988474898,0.984699818,0.976268784,0.973600189,0.967715643,0.995371544
298,0.989758114,0.977771851,0.987745804,0.990158727,0.991721071,0.986621027,0.979464814,0.978124544,0.974622324,0.993917745
299,0.993315756,0.976874371,0.990310823,0.992365038,0.991895178,0.987229536,0.981907746,0.981530359,0.976099471,0.996018294
300,0.995386865,0.982294322,0.993954272,0.990315688,0.992861198,0.991167305,0.982940978,0.982283452,0.975596807,0.99728639
301,0.991836919,0.977659303,0.98688566,0.989864966,0.99050661,0.986191108,0.978642585,0.9771612,0.96449268,0.993752866
302,0.993602486,0.985068124,0.992897594,0.990368142,0.993479176,0.991717682,0.985018504,0.980298812,0.979829631,0.996426141
303,0.993854363,0.976587069,0.99130935,0.990067447,0.991147442,0.98811502,0.983183841,0.975346973,0.975136424,0.995098396
304,0.992016731,0.975796537,0.987452595,0.987319887,0.989744548,0.985458377,0.980782336,0.983600073,0.969741401,0.994534228
305,0.992803379,0.983351689,0.991138601,0.986079742,0.99307991,0.991172405,0.982959129,0.982508034,0.978787145,0.997221789
306,0.993738023,0.978219499,0.9919716,0.983172576,0.993218022,0.98818799,0.979923018,0.972850804,0.972985486,0.996176472
307,0.990777975,0.975618862,0.980820459,0.990840931,0.992060679,0.989163909,0.982514363,0.980277121,0.974151401,0.994381003
308,0.991997403,0.976744098,0.988606283,0.987009819,0.991461365,0.988075944,0.983683434,0.981271752,0.9698949,0.992477277
309,0.991746072,0.967375581,0.983929213,0.985290837,0.990600411,0.982935975,0.981202621,0.977831089,0.961773288,0.990787703
310,0.983739572,0.953368174,0.977143368,0.971875925,0.977773073,0.975364014,0.967279614,0.965791414,0.944670072,0.984981043
