,LB,BOLE,MOOB,ARF,ARFre,VU-LB,FU-ARF,SS-ARFre,OALE,CALMID
134,0.991698251,0.991224302,0.980316557,0.98990344,0.985174553,0.981431812,0.968054426,0.97108462,0.960445349,0.994574
135,0.989265052,0.98709238,0.975938311,0.985868745,0.979539386,0.972501014,0.968310527,0.966833925,0.945273193,0.987558803
136,0.994412263,0.993748319,0.985904316,0.991175524,0.991930463,0.985958998,0.974196381,0.975451746,0.958643011,0.994669116
137,0.992228504,0.992748705,0.981329317,0.989079973,0.987370254,0.979980322,0.970838118,0.97241124,0.955216976,0.993961046
138,0.988633579,0.987978459,0.974060173,0.984400166,0.984132601,0.972535772,0.967709129,0.97016385,0.951272224,0.988993719
139,0.987242429,0.986151386,0.970205721,0.98136177,0.979586984,0.971275196,0.962405203,0.966028044,0.953168214,0.987031178
140,0.981616703,0.987644018,0.965260152,0.979765345,0.976163959,0.96758038,0.955591205,0.961152546,0.945169894,0.991319932
141,0.978080044,0.983939139,0.959366371,0.964898024,0.970631153,0.958412513,0.950421751,0.953145453,0.943722294,0.985397248
142,0.974101492,0.982721306,0.952756253,0.910761577,0.924124399,0.950232902,0.94715065,0.950789841,0.933889664,0.980454211
143,0.9815363,0.984555994,0.94686194,0.913429769,0.898464114,0.946202513,0.944889177,0.947896304,0.928951531,0.984286196
144,0.961818141,0.964653025,0.915152664,0.865288514,0.871009942,0.917793195,0.912610571,0.915727279,0.896194365,0.969324118
145,0.947338362,0.965506265,0.89752095,0.89284355,0.872635439,0.910115701,0.887533313,0.889411474,0.888239571,0.966096485
146,0.962042226,0.97525096,0.935374177,0.892918022,0.879665108,0.921380501,0.907236012,0.900979098,0.904230098,0.971456726
147,0.960616422,0.97537891,0.948350651,0.920138533,0.893954085,0.941377401,0.928870245,0.92410162,0.912807504,0.976511278
148,0.960322939,0.976926128,0.954371237,0.926876477,0.910776196,0.933922514,0.933220686,0.918775287,0.913074847,0.975831093
149,0.969211514,0.976102237,0.962473098,0.927321747,0.920135746,0.94062605,0.934294419,0.920144244,0.928208288,0.975636221
150,0.961497902,0.973239432,0.95846276,0.918764357,0.916059456,0.935170836,0.926825053,0.904743596,0.92981857,0.974800663
151,0.964144043,0.968913768,0.945158452,0.917782797,0.91631332,0.936621756,0.918667525,0.899445805,0.924382346,0.971452907
152,0.969552957,0.977679461,0.942646125,0.920209858,0.921717245,0.944729301,0.917159665,0.906546595,0.934066161,0.976660002
153,0.969115263,0.973955257,0.946257065,0.914573845,0.915214534,0.944359759,0.916060951,0.904173304,0.928205888,0.974931761
