,LB,BOLE,MOOB,ARF,ARFre,SS-LB,VU-ARF,VU-ARFre,OALE,CALMID
1264,0.836448819,0.837037037,0.836289062,0.837037037,0.837037037,0.835479214,0.83693608,0.837016077,0.834014504,0.835154446
1265,0.83425822,0.837036109,0.836348059,0.837036728,0.837021264,0.835016957,0.836870151,0.837022756,0.834549245,0.835514553
1266,0.835741123,0.83632556,0.836583882,0.837028292,0.836353968,0.833811736,0.837020608,0.837030935,0.834148354,0.834487323
1267,0.836707172,0.836209251,0.836790939,0.837037037,0.837037037,0.834738485,0.837022151,0.837037037,0.835138673,0.835076056
1268,0.840802149,0.841077441,0.858498598,0.860016378,0.852588445,0.839548386,0.851721046,0.848443275,0.850969213,0.856854929
1269,0.831095332,0.837028644,0.835324809,0.836946843,0.835743801,0.836357397,0.835749723,0.836992435,0.832244389,0.833180357
1270,0.835549204,0.836984599,0.835005581,0.836827671,0.836889979,0.83542126,0.836267671,0.836957278,0.832554875,0.834358999
1271,0.835593285,0.83703475,0.835167609,0.83679386,0.836963786,0.835027435,0.836740621,0.837000624,0.834277787,0.834896966
1272,0.83645348,0.837037037,0.835801927,0.836899459,0.837032789,0.831797074,0.836956986,0.836978698,0.835268265,0.834964885
1273,0.839782601,0.840403533,0.837211892,0.840971642,0.840510336,0.838326816,0.840567912,0.84030629,0.842454073,0.839364481
1274,0.863701449,0.861726741,0.866565048,0.879642415,0.87402551,0.824844935,0.860104044,0.85548292,0.85203824,0.838785157
1275,0.874032102,0.873199642,0.861590655,0.868581512,0.872595363,0.82810026,0.826196632,0.820560634,0.847019098,0.850629025
1276,0.884056469,0.886667604,0.841107676,0.881975347,0.883775071,0.8694374,0.805103701,0.817180238,0.859243656,0.878504042
1277,0.885771794,0.886177045,0.80135995,0.885690779,0.88609848,0.878434358,0.849905599,0.873179882,0.865282279,0.882943654
1278,0.872852197,0.881117496,0.851212673,0.87637174,0.876818837,0.866444694,0.855532451,0.859076261,0.85690226,0.870660201
1279,0.877435435,0.877321512,0.865959994,0.874426174,0.877877213,0.8505233,0.842958595,0.848557651,0.852929981,0.866669238
1280,0.876278436,0.878713847,0.869607826,0.877528296,0.878793886,0.851215479,0.84968294,0.851819554,0.857087504,0.861908538
1281,0.8733198,0.870698574,0.864262022,0.881362417,0.880657971,0.839756306,0.85332858,0.858362668,0.852045473,0.858188793
1282,0.879297015,0.88100779,0.875757704,0.883009361,0.883056328,0.85381982,0.865279759,0.869169428,0.86267492,0.867134131
